4000	2.00	1	1605	1	3.57	5.00	0	0.00 
4000	2.00	2	1442	3	4.71	5.00	1	0.50 
4000	2.00	3	-1	4	5.29	5.00	0	0.33 
4000	2.00	4	-1	5	5.86	5.00	0	0.25 
4000	2.00	5	-1	2	4.14	5.00	0	0.20 
4000	2.00	6	-1	7	7.00	5.00	1	0.33 
4000	2.00	7	-1	2	4.14	5.00	0	0.29 
4000	2.00	8	-1	0	3.00	5.00	1	0.37 
4000	2.00	9	-1	4	5.29	5.00	0	0.33 
4000	2.00	10	1038	7	7.00	5.00	0	0.30 
4000	2.00	11	-1	1	3.57	5.00	1	0.36 
4000	2.00	12	-1	2	4.14	5.00	0	0.33 
4000	2.00	13	-1	7	7.00	5.00	1	0.38 
4000	2.00	14	2001	3	4.71	5.00	1	0.43 
4000	2.00	15	-1	2	4.14	5.00	0	0.40 
4000	2.00	16	2028	4	5.29	5.00	1	0.44 
4000	2.00	17	1182	4	5.29	5.00	1	0.47 
4000	2.00	18	1656	2	4.14	5.00	1	0.50 
4000	2.00	19	-1	0	3.00	5.00	1	0.53 
4000	2.00	20	1625	6	6.43	5.00	0	0.50 
4000	1.00	1	2030	7	6.00	5.00	0	0.00 
4000	1.00	2	3487	1	4.29	5.00	0	0.00 
4000	1.00	3	1984	6	5.71	5.00	0	0.00 
4000	1.00	4	2746	6	5.71	5.00	0	0.00 
4000	1.00	5	-1	1	4.29	5.00	1	0.20 
4000	1.00	6	-1	5	5.43	5.00	0	0.17 
4000	1.00	7	2442	1	4.29	5.00	0	0.14 
4000	1.00	8	1532	6	5.71	5.00	0	0.12 
4000	1.00	9	2406	5	5.43	5.00	1	0.22 
4000	1.00	10	-1	0	4.00	5.00	1	0.30 
4000	1.00	11	1448	2	4.57	5.00	1	0.36 
4000	1.00	12	1446	6	5.71	5.00	0	0.33 
4000	1.00	13	-1	0	4.00	5.00	1	0.38 
4000	1.00	14	-1	7	6.00	5.00	1	0.43 
4000	1.00	15	1462	3	4.86	5.00	1	0.47 
4000	1.00	16	-1	1	4.29	5.00	1	0.50 
4000	1.00	17	-1	1	4.29	5.00	1	0.53 
4000	1.00	18	1283	0	4.00	5.00	0	0.50 
4000	1.00	19	3379	0	4.00	5.00	0	0.47 
4000	1.00	20	2234	4	5.14	5.00	1	0.50 
4000	0.50	1	1179	3	4.93	5.00	1	1.00 
4000	0.50	2	2499	0	4.50	5.00	0	0.50 
4000	0.50	3	-1	7	5.50	5.00	1	0.67 
4000	0.50	4	1290	4	5.07	5.00	1	0.75 
4000	0.50	5	2255	6	5.36	5.00	0	0.60 
4000	0.50	6	1820	4	5.07	5.00	1	0.67 
4000	0.50	7	-1	0	4.50	5.00	1	0.71 
4000	0.50	8	1493	5	5.21	5.00	1	0.75 
4000	0.50	9	-1	2	4.79	5.00	0	0.67 
4000	0.50	10	1678	1	4.64	5.00	0	0.60 
4000	0.50	11	-1	0	4.50	5.00	1	0.64 
4000	0.50	12	1193	5	5.21	5.00	1	0.67 
4000	0.50	13	2850	2	4.79	5.00	1	0.69 
4000	0.50	14	1448	5	5.21	5.00	1	0.71 
4000	0.50	15	1446	3	4.93	5.00	1	0.73 
4000	0.50	16	-1	0	4.50	5.00	1	0.75 
4000	0.50	17	1941	6	5.36	5.00	0	0.71 
4000	0.50	18	2900	2	4.79	5.00	1	0.72 
4000	0.50	19	-1	0	4.50	5.00	1	0.74 
4000	0.50	20	-1	1	4.64	5.00	1	0.75 
2000	2.00	1	1626	6	6.43	5.00	0	0.00 
